"gene_id"	"transcript_id"	"gene_sympol"	"gene_name"	"pfam_sympol"	"seed_ortholog"	"evalue"
"ptg000003lG000003"	"ptg000003lG000003.mRNA1"	"UVSSA"	"UV-stimulated scaffold protein A"	"DUF2043"	"144197.XP_008284325.1"	8.64e-178
"ptg000003lG000004"	"ptg000003lG000004.mRNA1"	"UVSSA"	"UV-stimulated scaffold protein A"	"DUF2043"	"215358.XP_010741383.1"	4.68e-97
"ptg000003lG000005"	"ptg000003lG000005.mRNA1"	"TCTN1"	"Tectonic family member 1"	"DUF1619"	"215358.XP_010741385.1"	5.28e-251
"ptg000003lG000006"	"ptg000003lG000006.mRNA1"	"TCTN1"	"Tectonic family member 1"	"DUF1619"	"215358.XP_010741385.1"	2.45e-127
"ptg000003lG000007"	"ptg000003lG000007.mRNA1"	"HVCN1"	"Hydrogen voltage-gated channel 1"	"Ion_trans,VGPC1_C"	"215358.XP_010741381.1"	2.92e-150
"ptg000003lG000009"	"ptg000003lG000009.mRNA1"	"C4orf47"	"Chromosome 4 open reading frame 47"	"DUF4586"	"215358.XP_010753496.1"	1.44e-214
"ptg000003lG000011"	"ptg000003lG000011.mRNA1"	"GFRA3"	"Gdnf family receptor"	"GDNF"	"215358.XP_010749862.1"	3.34e-286
"ptg000003lG000012"	"ptg000003lG000012.mRNA1"	"DND1"	"Dead end"	"DND1_DSRM,RRM_1"	"215358.XP_010749863.1"	5.72e-277
"ptg000003lG000013"	"ptg000003lG000013.mRNA1"	"HARS"	"histidyl-tRNA synthetase"	"HGTP_anticodon,WHEP-TRS,tRNA-synt_His"	"144197.XP_008288095.1"	0
"ptg000003lG000014"	"ptg000003lG000014.mRNA1"	"icl-1"	"Malate synthase"	"ICL,Malate_synthase,PEP_mutase"	"215358.XP_010749867.1"	1.6e-232
"ptg000003lG000015"	"ptg000003lG000015.mRNA1"	"icl-1"	"Malate synthase"	"ICL,Malate_synthase,PEP_mutase"	"215358.XP_010749867.1"	1.4e-76
"ptg000003lG000016"	"ptg000003lG000016.mRNA1"	"NAA15"	"N-alpha-acetyltransferase 15, NatA auxiliary"	"NARP1,TPR_8"	"215358.XP_010749869.1"	0
"ptg000003lG000017"	"ptg000003lG000017.mRNA1"	"MGARP"	"Mitochondria Localisation Sequence"	"AIF-MLS"	"215358.XP_010749871.1"	1.21e-79
"ptg000003lG000026"	"ptg000003lG000026.mRNA1"	"-"	"cyclin-dependent protein serine/threonine kinase activity"	"Pkinase"	"32507.XP_006800610.1"	1.14e-76
"ptg000003lG000028"	"ptg000003lG000028.mRNA1"	"MCL1"	"Induced myeloid leukemia cell differentiation protein"	"Bcl-2"	"144197.XP_008295832.1"	9.47e-34
"ptg000007lG000002"	"ptg000007lG000002.mRNA1"	"DECR1"	"2,4-dienoyl CoA reductase 1, mitochondrial"	"adh_short_C2"	"215358.XP_010751813.1"	8.21e-219
"ptg000007lG000003"	"ptg000007lG000003.mRNA1"	"pmvk"	"phosphomevalonate kinase"	"P-mevalo_kinase"	"215358.XP_010751812.1"	1.42e-143
"ptg000007lG000004"	"ptg000007lG000004.mRNA1"	"-"	"Tropomyosin"	"Tropomyosin"	"8128.ENSONIP00000001764"	2.79e-36
"ptg000007lG000005"	"ptg000007lG000005.mRNA1"	"ARHGEF2"	"guanine nucleotide exchange factor"	"C1_1,PH,RhoGEF"	"215358.XP_010751807.1"	0
"ptg000007lG000006"	"ptg000007lG000006.mRNA1"	"TMEM79"	"Transmembrane protein 79b"	"-"	"215358.XP_010751815.1"	6.27e-270
"ptg000007lG000008"	"ptg000007lG000008.mRNA1"	"GON4L"	"GON-4-like"	"PAH"	"144197.XP_008296960.1"	0
